,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-13,2020-04-14
A,-0.004966058862935219,0.016676733124208365,0.01688233556128904,-0.001295179485264808,-0.01945307052227152,0.015149528646547061,0.00781719191229624,0.003995879805557712,0.00046835024082558796,0.004094964027206993,-0.012001951828453539,0.006604470316457389,-0.011833650837592025,0.008655462285545257,-0.05372047609902708,-0.03167688136636604,0.0020524725039974268,-0.0087056137183541,-0.004649453583808305,0.06357866432113046,-0.020129338414024756,0.05017427401952723,-0.04611733949972063,-0.02361414304223608,-0.09941449479078246,0.030529985493769285,-0.05582226181094152,-0.07873330912713628,0.091138572991883,-0.07326595126711166,0.09839377251520798,-0.022288294797209507,-0.04515738852649964,0.01064466378669171,-0.046494294187463314,0.057282607035910704,0.029850493486800245,0.06840620783030071,-0.038117290686315086,0.027428295346197284,-0.0144487596565539,-0.037699162460930635,0.04889722225721749,-0.025868016215259138,0.05595005847362211,-0.0044377442839255155,0.0359312213616072,0.02138498801094979,-0.02706517121889862,0.034378711683826335
AAPL,-0.0027461998455703407,0.03301355808565187,0.008154560317788384,0.011696725321979518,-0.013592544919431293,0.004749461764890661,-0.006033196935242291,0.023747789633598027,-0.007121183109678575,0.00024632306623728617,-0.018310446709484784,0.014482702453203045,-0.010258962163547047,-0.022634991598181275,-0.04750042314391212,-0.03387211182924621,0.01586346971503727,-0.06536807445539528,-0.0005849070795344025,0.09310058263464538,-0.031759344021010105,0.04638470757847579,-0.03243722545068606,-0.01327981981093096,-0.07909212036706903,0.0720214821231191,-0.03473054413948551,-0.09875465679355355,0.1198081228182224,-0.12864686922486102,0.04397024004616945,-0.024480015967365265,-0.0076621321911978235,-0.06348543142597984,-0.021244293822901272,0.10032554756091416,-0.005508819675309029,0.052623111695384805,-0.04140238675319874,0.02853794464704995,-0.002040773391281059,-0.05261701661309881,0.01668671508817332,-0.014371455707577585,0.08723732819920915,-0.0115821695140097,0.025594734838475297,0.007215881105452349,0.019627872878271058,0.05050308147282445
ABC,0.0016364449797974245,0.027887757790105994,0.0380296025244804,0.011373447080317511,-0.0058391383170706135,0.018055313641416326,0.010363258178076595,0.012794697322188853,-0.008808828631993615,-0.0016926113800765918,-0.0005298957745297761,0.008694611555593701,0.014716822357445425,0.004868849098036421,-0.021340260070566885,-0.021068147148409322,0.008393355413533365,-0.0759790072603369,-0.026215420528921785,0.03368122555539732,-0.014800398203252407,0.05252114179679035,-0.0377294244591031,-0.013337989248017434,-0.02960031603112334,0.03362544464794115,-0.012896343524254394,-0.05261304125746291,0.11815132829830577,-0.10555548686899374,0.11180123365053651,-0.050614563677904845,0.012122010888323764,-0.06267435381478403,-0.08286818728366896,0.08007563784356253,-0.05635566581582585,0.11692106823448456,-0.028279486846770063,0.07728041394216945,0.004540383594210606,-0.025649730117700664,-0.02713662734965594,-0.030397061593377628,0.06085577486808669,0.010545650752643576,0.012958913673779549,-0.005887092289660112,-0.02687626040456048,0.04646003994006209
ABT,-0.0009182850644678942,0.013439071158876992,0.015074287316051649,-0.0010049449233067165,-0.017883234137382575,0.004893769742375653,0.009852667475044319,-0.004261639313090981,-0.0012387185885140983,0.011050973183216017,-0.008699661164917716,0.0054006832767521384,-0.010071585149413975,-0.011417573508476941,-0.03224708414494448,-0.04135650659698775,0.0028351887096065287,-0.026671732969290818,-0.027276336595529416,0.05945772005679473,-0.044357620015236354,0.052570835093087576,-0.019125337514948493,0.015151747540603111,-0.05774420233177813,0.050116706496428964,-0.034495374993608996,-0.04289903426743602,0.09245359714289458,-0.09785672917364996,0.07914739152693939,-0.0028932821426705946,-0.06005562696238942,-0.08724830563879427,-0.07617643622935333,0.10936028831268607,0.015210038378376423,0.07151955014331679,-0.016488705103001156,0.06410933754799464,-0.005419607053131492,-0.029654173977858522,0.03748231804153934,0.00012577372404365406,0.04128379367680424,-0.009670137432543746,0.03686088880884153,0.012831194347611374,-0.0022085202821505723,0.04269505541828034
ADBE,0.019536324729127585,0.02441338054294695,-0.0032448123277905028,0.005225013612067508,-0.0037282837561786186,0.010680443883259061,-0.0019459492451435745,0.013566967564412558,0.00146941617572649,0.012885543530658516,-0.002159789541490431,0.011693262780549718,-0.011271152520291872,-0.01585913917976034,-0.041667805433118876,-0.026887931984762803,0.01017828829548173,-0.03933513823722978,0.022517202983221685,0.043926761348503485,-0.033140897307264994,0.04452549213033885,-0.03523431938756505,-0.040623336510309804,-0.09199151194999233,0.08695508549941522,-0.051597549926419184,-0.0958982645457549,0.17719298245614046,-0.1474515684670734,0.09013040201838729,-0.05516183682917064,0.04378678610865383,-0.039575991158824375,0.040394097730442446,0.00888473031515824,-0.013193536573840703,0.0547873870255553,-0.05218962455350773,0.04106866111117591,-0.0004711969821923345,-0.053513069701751625,0.009129843225702317,-0.034050554002088895,0.08691809136086714,-0.03196193416779092,0.026705079453577918,0.00479229322892305,0.006118549152067221,0.06274753001767674
ADI,0.0022779254963019024,0.022363548769765762,0.03752449864101548,-0.007627677128841159,-0.030399902902521037,0.005611516132947969,0.035252370625898255,0.016512657592511415,0.000589203138072758,-0.010346494272382323,0.007819803164658135,0.044867973380245285,0.005327366358043761,-0.014371680101275874,-0.04398850326426862,-0.023006091624886538,0.0015698510161377133,-0.056907727597134694,0.01234702192800019,0.02035753944923302,-0.03657776648072231,0.04906720336551418,-0.03192249237261213,-0.017176399000791487,-0.08869171623022176,0.05055909463611541,-0.07838733908641327,-0.04660535146483724,0.10865460895862511,-0.16614880085650363,0.1469774299539537,-0.13841151161983,0.09838238500956042,-0.058015815597361575,0.0009403007591783918,0.10063405986553842,0.006721415131641706,-0.018439860992546353,-0.04264753325547255,0.025938951340617855,-0.014510157399924783,-0.062019208538506176,0.0429303370462073,-0.012998805457082985,0.1067467020558619,0.004697165475992193,0.05350661140976465,-0.025739662099438676,0.008907791202506177,0.03361084663528113
ADM,0.004468219694319098,0.009119053861657678,0.015428917147169319,-0.0019536184691321123,-0.005871969631935148,-0.0006564248778004877,0.009632266931884015,-0.003277846118917349,-0.007454809264811457,-0.01104460022321585,-0.007147806345894736,-0.010798438578948133,0.00591302480591227,-0.007460915737245277,-0.024601461166417704,-0.05581495555495364,-0.013851314803701942,-0.05643350129499902,0.0007975479769017912,0.03160695373591049,-0.020082166168790216,0.03441901917555357,-0.02641593434868106,-0.018001577695090587,-0.06216808196783208,0.05155828025536646,-0.055226154160293084,-0.1006558199053027,0.09828759700341139,-0.0565819311446516,0.07894742925858544,-0.06352802465110707,0.013325004934706008,-0.08517606733331884,-0.04246988140676755,0.10269527256189881,0.01175750584852242,0.05382254873548953,-0.027858373569999983,0.06955221757270658,-0.018141097169143583,-0.03723724842724585,0.013581532207691316,0.009321386991550495,0.03261154219947704,0.005589957616488395,0.01389652821744125,0.030153581684472908,-0.040180856889221905,0.03243678616137946
ADP,0.014878365839412266,0.011383284285704232,0.015347908574887104,0.009181492840547811,-0.006435065939310092,0.00145158142653945,-0.007749697155040369,0.00033697461953985375,0.011683537090603213,0.006329494767658872,-0.007282937677579926,0.007336367988419301,-0.0026483490748466787,-0.012114826059961281,-0.022622915234615237,-0.042168103856723205,-0.0050841536406806,-0.05290684531161871,-0.017711023173574425,0.05337983384195866,-0.04760727945677068,0.05894091508855048,-0.022629127391859294,-0.009460429412698979,-0.05171203292416282,0.02319098114479279,-0.041510116797246144,-0.11434407016186865,0.10914954478590899,-0.15252594105548767,0.05658991712013739,-0.09111994614205499,-0.001955707173954324,-0.04524146135211027,-0.026682251147115976,0.1090126425191964,0.013475491617165769,0.1180358816719167,-0.04144180662274366,0.04901824286534229,-0.008272088477254802,-0.050921605459235963,0.014107313914912378,-0.022652835913507308,0.08617855909482164,-0.019262452757988546,0.01146325680730853,0.028802361293037926,-0.020979436853994504,0.031104293716256892
ADSK,0.012242765194800054,0.023486942003352107,-0.00912033239229737,0.019398248878790936,0.004902885955514247,-0.004395866999021947,-0.0014556188397545355,0.006365391346783822,0.0019313113577597019,0.006939436554988632,-0.009045223341719422,0.01786920212435117,-0.01940594251513883,-0.02303186020713477,-0.0373434124519153,-0.039306475184311296,0.021099997491325295,-0.05255155173171289,0.0566289030277527,-0.0002619606584173262,-0.05386992967907611,0.06020490132072398,-0.03855399098008028,-0.05770482234628349,-0.0770960400089642,0.027678804069429797,-0.06128405941688009,-0.11917094963630914,0.1619852851418888,-0.06296270977093565,0.04619122267228515,-0.08455971468861367,0.05224924566799749,-0.008108232190043752,-0.026212706193890933,0.04037746183476609,0.00020004519841165802,0.07260483359436076,-0.12002733075909244,0.101292615638916,0.0012186674167362632,-0.10813583742987654,-0.015586827682218196,0.014228361217224927,0.09582739082171754,-0.023765823279349174,0.07067928702973147,0.03573887910728657,-0.02413581488691563,0.07022124770281346
AEE,0.007068756288922451,-0.004356881773141086,0.004983925183162707,0.005926356650216347,0.0051701574226443725,0.004545454990920517,0.0034532009131529318,0.003560027051422221,0.01395301569537466,0.012128138866311033,-0.00046095717289673654,-0.010028624068924463,-0.0025616989562975423,-0.0037357294236944893,-0.006093395323974349,-0.01485483147144051,0.01974627162161391,-0.04271787940554572,-0.03150677542868663,0.06860722772813221,-0.014925025490343358,0.047017689255965056,-0.01171449028078586,-0.008135024593784346,-0.04393680736182559,0.01830957293125457,-0.02082563848430885,-0.1047360392377249,0.05179561685183898,-0.13394633264444034,0.17801409502954835,-0.019822547353618547,-0.05607366899384614,-0.12451296472273998,-0.02478947640507201,0.06387496322771802,0.03446157898764146,0.07773153710285152,0.019920515730385446,0.05293634112220169,-0.06831255228251254,-0.07002609034590113,0.0581720632174767,-0.04074223087620177,0.08058157565170476,-0.03715154430250989,0.06263108504118398,0.03933697748520948,-0.04025310231759627,0.017805299724156454
